title_norm,tmdb_id,genres,director,top_cast,overview,match_score,enriched_text
You Only Live Twice (1967),667.0,"['Action', 'Thriller', 'Adventure']",Lewis Gilbert,"['Sean Connery', 'Akiko Wakabayashi', 'Mie Hama']",A mysterious spacecraft captures Russian and American space capsules and brings the two superpowers to the brink of war. James Bond investigates the case in Japan and comes face to face with his archenemy Blofeld.,1.0,"You Only Live Twice (1967) | Genres: Action, Thriller, Adventure | Director: Lewis Gilbert | Cast: Sean Connery, Akiko Wakabayashi, Mie Hama"
Philadelphia (1993),9800.0,['Drama'],Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Jason Robards']","Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops, their courage overcomes the prejudice and corruption of their powerful adversaries.",1.0,"Philadelphia (1993) | Genres: Drama | Director: Jonathan Demme | Cast: Tom Hanks, Denzel Washington, Jason Robards"
Oldboy (2013),87516.0,"['Drama', 'Thriller', 'Mystery', 'Action']",Spike Lee,"['Josh Brolin', 'Elizabeth Olsen', 'Sharlto Copley']",A man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,1.0,"Oldboy (2013) | Genres: Drama, Thriller, Mystery, Action | Director: Spike Lee | Cast: Josh Brolin, Elizabeth Olsen, Sharlto Copley"
Cheech & Chong's Animated Movie (2013),184322.0,"['Animation', 'Comedy']",Branden Chambers,"['Cheech Marin', 'Tommy Chong']","It's the legendary toker jokers Cheech & Chong as you've never seen them before - in their very first animated movie. Catch all the buzz as their most outrageously funny routines and laugh-out-loud lines from their Grammy Award-winning albums come to life, including ""Dave's Not Here,"" ""Let's Make A Dope Deal"" and more. With help from a trippy, bud-lovin' body crab named Buster, Cheech & Chong ""the masters of smokin' word"" deliver the ultimate comedy high and give you the munchies for more.",1.0,"Cheech & Chong's Animated Movie (2013) | Genres: Animation, Comedy | Director: Branden Chambers | Cast: Cheech Marin, Tommy Chong"
Shrek Forever After (2010),10192.0,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","A midlife-crisis burdened Shrek, longing for the days when he felt like a real ogre, makes a pact with magic deal-maker Rumpelstiltskin. But when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",1.0,"Shrek Forever After (2010) | Genres: Comedy, Adventure, Fantasy, Animation, Family | Director: Mike Mitchell | Cast: Mike Myers, Eddie Murphy, Cameron Diaz"
Twilight Zone: The Movie (1983),15301.0,"['Horror', 'Fantasy', 'Science Fiction']",John Landis,"['Dan Aykroyd', 'Albert Brooks', 'Scatman Crothers']","An anthology film presenting remakes of three episodes from the ""Twilight Zone"" TV series—""Kick the Can"", ""It's a Good Life"" and ""Nightmare at 20,000 Feet""—and one original story, ""Time Out.""",1.0,"Twilight Zone: The Movie (1983) | Genres: Horror, Fantasy, Science Fiction | Director: John Landis | Cast: Dan Aykroyd, Albert Brooks, Scatman Crothers"
Enter Another Dragon (1981),,,,,,,Enter Another Dragon (1981)
Avatar (2004),1096978.0,['Drama'],Lluís Quílez,"['Sebastián Haro', 'Rosana Pastor', 'Gerard Villegas']",Tension mounts between a quadraplegic man and his wife as she prepares a bath for him.,0.8,"Avatar (2004) | Genres: Drama | Director: Lluís Quílez | Cast: Sebastián Haro, Rosana Pastor, Gerard Villegas"
Star Trek Beyond (2016),188927.0,"['Action', 'Adventure', 'Science Fiction']",Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",1.0,"Star Trek Beyond (2016) | Genres: Action, Adventure, Science Fiction | Director: Justin Lin | Cast: Chris Pine, Zachary Quinto, Karl Urban"
Postcards from the Edge (1990),22414.0,"['Comedy', 'Drama']",Mike Nichols,"['Meryl Streep', 'Shirley MacLaine', 'Dennis Quaid']",A substance-addicted actress tries to look on the bright side even as she's forced to move back in with her mother to avoid unemployment.,1.0,"Postcards from the Edge (1990) | Genres: Comedy, Drama | Director: Mike Nichols | Cast: Meryl Streep, Shirley MacLaine, Dennis Quaid"
Benji the Hunted (1987),21299.0,"['Action', 'Adventure', 'Family']",Joe Camp,"['Benjean', 'Red Steagall', 'Frank Inn']","Benji has become stranded on a remote island after a boating accident. He finds himself struggling to survive in the wilderness, avoiding close encounters with a wolf, a bear, and a territorial female cougar with her cub.",1.0,"Benji the Hunted (1987) | Genres: Action, Adventure, Family | Director: Joe Camp | Cast: Benjean, Red Steagall, Frank Inn"
Jane (1915),,,,,,,Jane (1915)
The Deep End of the Ocean (1999),30943.0,"['Drama', 'Mystery']",Ulu Grosbard,"['Michelle Pfeiffer', 'Treat Williams', 'Jonathan Jackson']","A three-year-old boy disappears during his mother's high school reunion. Nine years later, by chance, he turns up in the town in which the family has just relocated.",1.0,"The Deep End of the Ocean (1999) | Genres: Drama, Mystery | Director: Ulu Grosbard | Cast: Michelle Pfeiffer, Treat Williams, Jonathan Jackson"
The Rookie (2002),14635.0,"['Drama', 'Family']",John Lee Hancock,"['Dennis Quaid', 'Rachel Griffiths', 'Jay Hernandez']","Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",1.0,"The Rookie (2002) | Genres: Drama, Family | Director: John Lee Hancock | Cast: Dennis Quaid, Rachel Griffiths, Jay Hernandez"
The Silence of the Hams (1994),10450.0,"['Thriller', 'Comedy']",Ezio Greggio,"['Ezio Greggio', 'Dom DeLuise', 'Billy Zane']","Rookie FBI agent Jo Dee Foster has been assigned to work on the case of the Psycho Killer, a psycho killer who has psycho-killed over 120 people. But to learn more about the Psycho Killer, Jo is forced to meet Dr. Animal Cannibal Pizza, a famous doctor turned cannibal who ate pizzas with human body parts. Meanwhile, Jo's girlfriend Jane Wine has just stolen $400,000 in cash from her money-hungry boss, Mr. Laurel, so she and Jo can be happy, but gets lost in a horrible storm, caused mostly by a special effects crew behind her car, and stops at the Cemetery Motel, where the owner, Antonio Motel, is dominated by his insane mother.",1.0,"The Silence of the Hams (1994) | Genres: Thriller, Comedy | Director: Ezio Greggio | Cast: Ezio Greggio, Dom DeLuise, Billy Zane"
Twelve Disciples of Nelson Mandela (2005),489819.0,['Documentary'],Thomas Allen Harris,,"Filmmaker Thomas Allen Harris focuses on the roles both his stepfather, Pule ""Lee"" Leinaeng, and the African National Congress played in bringing down apartheid from outside the confines of South Africa in this documentary that aims to strike a balance between intimate biography and searing social history. As the grip of apartheid was strengthening, a young group of concerned African National Congress activists exiled themselves to Botswana, Tanzania, and other ""safe"" locations outside of South Africa in hopes of battling oppression from the outside. By utilizing actors to create dramatic reenactments of events from that time, inter-cutting the newly shot footage with archival images, and tracing the path of his stepfather to the United States, Harris attempts to both personalize the plight of the ANC and simultaneously offer an in-depth account of the struggles the group faced while trying to abolish tyranny and restore justice to their homeland.",1.0,Twelve Disciples of Nelson Mandela (2005) | Genres: Documentary | Director: Thomas Allen Harris
Garfield: The Movie (2004),,,,,,,Garfield: The Movie (2004)
The Dawns Here Are Quiet (1972),49106.0,"['Drama', 'History', 'War']",Stanislav Rostotsky,"['Andrey Martynov', 'Irina Dolganova', 'Elena Drapeko']","In a remote village in Karelia, Sergeant Vaskov commands an anti-aircraft unit that protects a rail depot. While his men are transferred to the front line, he is reprimanded for their unruly behavior. He retorts that he wants replacements that aren't drunks or womanizers. In response, he is assigned a unit made up entirely of young women, fresh from training.",1.0,"The Dawns Here Are Quiet (1972) | Genres: Drama, History, War | Director: Stanislav Rostotsky | Cast: Andrey Martynov, Irina Dolganova, Elena Drapeko"
Conception (2011),83403.0,"['Comedy', 'Romance']",Josh Stolberg,"['Pamela Adlon', 'David Arquette', 'Aaron Ashmore']","Conception is a clever, romantic comedy that proves it takes more than sex to make a baby. From a couple fighting the odds of fertility to young teenagers losing their virginity, the film follows nine very different couples on the night they conceive, showing that sex can sometimes be more neurotic than erotic. The hilarious ensemble cast includes Emmy-winner Julie Bowen and Sarah Hyland (“Modern Family”), Connie Britton (“Friday Night Lights”), David Arquette (Never Been Kissed), Jason Mantzoukas (“The League”), and Alan Tudyk (Dodgeball).",1.0,"Conception (2011) | Genres: Comedy, Romance | Director: Josh Stolberg | Cast: Pamela Adlon, David Arquette, Aaron Ashmore"
Solomon and Sheba (1959),29996.0,"['History', 'Romance', 'War']",King Vidor,"['Yul Brynner', 'Gina Lollobrigida', 'George Sanders']","Near death, King David has a vision that his poet son, Solomon, should succeed him, rather than hot-headed Adonijah. Furious, Adonijah departs the court, swearing he will become king. Other rulers are concerned that Solomon's benevolent rule and interest in monotheism will threaten their tyrannical, polytheistic kingdoms. The Queen of Sheba makes an agreement with the Egyptian pharaoh to corrupt Solomon for their mutual benefit.",1.0,"Solomon and Sheba (1959) | Genres: History, Romance, War | Director: King Vidor | Cast: Yul Brynner, Gina Lollobrigida, George Sanders"
Ring of Fire (1991),68479.0,"['Action', 'Drama']",Richard W. Munchkin,"['Don Wilson', 'Maria Ford', 'Vince Murdocco']","Johnny Woo is a Chinese doctor who has given up fighting in the ring. His brother is a teacher at a kickboxing club. When Johnny falls in love with Julie, whose brother is a teacher in a rival kickboxing club, tension begins to build...",1.0,"Ring of Fire (1991) | Genres: Action, Drama | Director: Richard W. Munchkin | Cast: Don Wilson, Maria Ford, Vince Murdocco"
The Foreigner (2016),498424.0,['Documentary'],,,"In 2011, a computer game tournament in Columbus, Ohio became a battle of two nations. The Foreigner takes you behind the scenes as four elite South Korean pro gamers annihilate the competition, and one American fights back. Witness the event that changed gaming forever.",1.0,The Foreigner (2016) | Genres: Documentary
Barry Lyndon (1975),3175.0,"['Drama', 'Romance', 'War', 'History']",Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']","An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",1.0,"Barry Lyndon (1975) | Genres: Drama, Romance, War, History | Director: Stanley Kubrick | Cast: Ryan O'Neal, Marisa Berenson, Patrick Magee"
Black Christmas (2006),9656.0,"['Horror', 'Mystery']",Glen Morgan,"['Katie Cassidy', 'Kristen Cloke', 'Andrea Martin']","As the residents of sorority house Pi Kappa Sigma prepare for the festive season, a stranger begins a series of obscene phone calls with dubious intentions...",1.0,"Black Christmas (2006) | Genres: Horror, Mystery | Director: Glen Morgan | Cast: Katie Cassidy, Kristen Cloke, Andrea Martin"
Jackass Number Two (2006),12094.0,"['Action', 'Comedy', 'Documentary']",Jeff Tremaine,"['Johnny Knoxville', 'Bam Margera', 'Steve-O']","Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",1.0,"Jackass Number Two (2006) | Genres: Action, Comedy, Documentary | Director: Jeff Tremaine | Cast: Johnny Knoxville, Bam Margera, Steve-O"
Zero Effect (1998),16148.0,"['Comedy', 'Crime', 'Mystery']",Jake Kasdan,"['Bill Pullman', 'Ben Stiller', ""Ryan O'Neal""]","Daryl Zero is a private investigator and—along with his assistant, Steve Arlo—he solves impossible crimes and puzzles. Although Daryl's a master investigator, he doesn't know what to do with himself when he's not working; he has no social skills, writes bad music and drives Steve crazy.",1.0,"Zero Effect (1998) | Genres: Comedy, Crime, Mystery | Director: Jake Kasdan | Cast: Bill Pullman, Ben Stiller, Ryan O'Neal"
The Beast and the Beauty (2005),49284.0,"['Comedy', 'Romance']",Lee Kae-byeok,"['Ryoo Seung-bum', 'Shin Min-a', 'Kim Kang-woo']",An unattractive guy and a beautiful blind girl are in love. But their relationship is turned upside down when she regains her eyesight and he doesn't want to show her his face.,1.0,"The Beast and the Beauty (2005) | Genres: Comedy, Romance | Director: Lee Kae-byeok | Cast: Ryoo Seung-bum, Shin Min-a, Kim Kang-woo"
3 Ninjas (1992),16314.0,"['Family', 'Action', 'Adventure', 'Comedy']",Jon Turteltaub,"['Victor Wong Chi-Keung', 'Michael Treanor', 'Max Elliott Slade']","Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",1.0,"3 Ninjas (1992) | Genres: Family, Action, Adventure, Comedy | Director: Jon Turteltaub | Cast: Victor Wong Chi-Keung, Michael Treanor, Max Elliott Slade"
Switch (2013),196385.0,"['Action', 'Adventure', 'Thriller', 'Crime']",Sun Jianjun,"['Andy Lau', 'Zhang Jingchu', 'Tong Dawei']","To recover and ancient scroll, a Chinese agent battles the Japanese yakuza and British mercenaries.",1.0,"Switch (2013) | Genres: Action, Adventure, Thriller, Crime | Director: Sun Jianjun | Cast: Andy Lau, Zhang Jingchu, Tong Dawei"
True Blood,127523.0,"['Action', 'Drama']",Frank Kerr,"['Jeff Fahey', 'Chad Lowe', 'Sherilyn Fenn']","Teenager Ray Trueblood is wrongfully accused of murdering a police officer after his fellow gang member Billy Masters does the deed. Hoping to elude the police, he flees Brooklyn, NY and joins the U.S. Marines. Returning 10 years later, Trueblood is dismayed to learn that his younger brother Donny is now running with a gang led by Masters. Trueblood soon finds himself depending on his military training & experience to protect his friends and family from the ruthless Masters.",1.0,"True Blood | Genres: Action, Drama | Director: Frank Kerr | Cast: Jeff Fahey, Chad Lowe, Sherilyn Fenn"
Vampire Academy (2014),203739.0,"['Comedy', 'Action', 'Fantasy']",Mark Waters,"['Zoey Deutch', 'Lucy Fry', 'Danila Kozlovsky']","Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",1.0,"Vampire Academy (2014) | Genres: Comedy, Action, Fantasy | Director: Mark Waters | Cast: Zoey Deutch, Lucy Fry, Danila Kozlovsky"
Carrie (2013),133805.0,"['Drama', 'Horror']",Kimberly Peirce,"['Chloë Grace Moretz', 'Julianne Moore', 'Gabriella Wilde']","An awkward, telekinetic teenage girl is the object of relentless bullying at school and an oppressively religious mother at home.",1.0,"Carrie (2013) | Genres: Drama, Horror | Director: Kimberly Peirce | Cast: Chloë Grace Moretz, Julianne Moore, Gabriella Wilde"
W.E. (2011),80591.0,"['Drama', 'Romance']",Madonna,"['Abbie Cornish', 'Andrea Riseborough', ""James D'Arcy""]","In 1998, an auction of the estate of the Duke and Duchess of Windsor causes great excitement. For one woman, Wally Winthrop, it has much more meaning. Wally becomes obsessed by their historic love story. As she learns more about the sacrifices involved, Wally gains her own courage to find happiness.",1.0,"W.E. (2011) | Genres: Drama, Romance | Director: Madonna | Cast: Abbie Cornish, Andrea Riseborough, James D'Arcy"
The Dentist (1996),9568.0,"['Thriller', 'Horror']",Brian Yuzna,"['Corbin Bernsen', 'Linda Hoffman', 'Michael Stadvec']","Dr. Alan Feinstone has everything: a beautiful wife and a successful career in dentistry. However, when he discovers his wife's affair, he realizes that behind every clean, white surface lies the stench of decay.",1.0,"The Dentist (1996) | Genres: Thriller, Horror | Director: Brian Yuzna | Cast: Corbin Bernsen, Linda Hoffman, Michael Stadvec"
King Solomon's Mines (1985),9838.0,"['Action', 'Adventure', 'Comedy']",J. Lee Thompson,"['Richard Chamberlain', 'Sharon Stone', 'Herbert Lom']","Ever in search of adventure, explorer Allan Quatermain agrees to join the beautiful Jesse Huston on a mission to locate her archaeologist father, who has been abducted for his knowledge of the legendary mines of King Solomon. As the kidnappers, led by sinister German military officer Bockner, journey into the wilds of Africa, Allan and Jesse track the party and must contend with fierce natives and dangerous creatures, among other perils.",1.0,"King Solomon's Mines (1985) | Genres: Action, Adventure, Comedy | Director: J. Lee Thompson | Cast: Richard Chamberlain, Sharon Stone, Herbert Lom"
Sleeping with the Enemy (1991),7442.0,"['Drama', 'Thriller']",Joseph Ruben,"['Julia Roberts', 'Patrick Bergin', 'Kevin Anderson']","A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",1.0,"Sleeping with the Enemy (1991) | Genres: Drama, Thriller | Director: Joseph Ruben | Cast: Julia Roberts, Patrick Bergin, Kevin Anderson"
Chicago (2002),1574.0,"['Comedy', 'Crime', 'Drama']",Rob Marshall,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere']",Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,1.0,"Chicago (2002) | Genres: Comedy, Crime, Drama | Director: Rob Marshall | Cast: Renée Zellweger, Catherine Zeta-Jones, Richard Gere"
House on Haunted Hill (1999),11377.0,['Horror'],William Malone,"['Geoffrey Rush', 'Famke Janssen', 'Ali Larter']",An amusement park mogul offers a random group of diverse people $1 million to spend the night in a decrepit former mental institution.,1.0,"House on Haunted Hill (1999) | Genres: Horror | Director: William Malone | Cast: Geoffrey Rush, Famke Janssen, Ali Larter"
Hansel & Gretel (2013),474896.0,"['Fantasy', 'Animation']",Ralf Kukula,['Anna Mateur'],Adaption of the fairytale.,1.0,"Hansel & Gretel (2013) | Genres: Fantasy, Animation | Director: Ralf Kukula | Cast: Anna Mateur"
African Cats (2011),57586.0,"['Documentary', 'Adventure']",Keith Scholey,"['Samuel L. Jackson', 'Patrick Stewart']","African Cats captures the real-life love, humor and determination of the majestic kings of the savanna. The story features Mara, an endearing lion cub who strives to grow up with her mother’s strength, spirit and wisdom; Sita, a fearless cheetah and single mother of five mischievous newborns; and Fang, a proud leader of the pride who must defend his family from a once banished lion.",1.0,"African Cats (2011) | Genres: Documentary, Adventure | Director: Keith Scholey | Cast: Samuel L. Jackson, Patrick Stewart"
The Polka King,419472.0,['Comedy'],Maya Forbes,"['Jack Black', 'Jenny Slate', 'Jason Schwartzman']",Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,1.0,"The Polka King | Genres: Comedy | Director: Maya Forbes | Cast: Jack Black, Jenny Slate, Jason Schwartzman"
Mr. 3000 (2004),16232.0,"['Comedy', 'Drama']",Charles Stone III,"['Bernie Mac', 'Angela Bassett', 'Michael Rispoli']","Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal.",1.0,"Mr. 3000 (2004) | Genres: Comedy, Drama | Director: Charles Stone III | Cast: Bernie Mac, Angela Bassett, Michael Rispoli"
Bad Girls (2012),136930.0,"['Comedy', 'Romance']",Weng Jing Ting,"['Ella Chen Chia-hwa', 'Mike He', 'Jack Kao']","S.H.E's Ella Chen (New Perfect Two) joins hands with screen heartthrob Mike He (Love Keeps Going) in Bad Girls! Ella plays spunky high-school girl A-Dan, who, along with her best friends Pei Pei (""otaku's goddess"" Da Yuan) and Xiao Mi (Beatrice Fang), forms the notoriously prone-to-violence trio known as the ""Bad Girls"". She takes it upon herself to deal out justice, protect other girls from bullies, and, most importantly, punish the insufferable boys. This summer, young popular idol Justin (Mike He) comes to A-Dan's school to shoot his latest romantic movie, and that makes the girls in town crazy. But it is the nonchalant A-Dan who, by pure chance of fate, accidentally crashes into the filming lot, and is assigned the female lead role opposite the arrogant Justin! There is a problem - she has no prior romantic experience at all..",1.0,"Bad Girls (2012) | Genres: Comedy, Romance | Director: Weng Jing Ting | Cast: Ella Chen Chia-hwa, Mike He, Jack Kao"
The Pajama Game (1957),40867.0,"['Music', 'Comedy', 'Romance']",Stanley Donen,"['Doris Day', 'John Raitt', 'Carol Haney']",An Iowa pajama factory worker falls in love with an affable superintendent who had been hired by the factory's boss to help oppose the workers' demand for a pay raise.,1.0,"The Pajama Game (1957) | Genres: Music, Comedy, Romance | Director: Stanley Donen | Cast: Doris Day, John Raitt, Carol Haney"
Someone like You (2001),12658.0,"['Comedy', 'Romance']",Tony Goldwyn,"['Ashley Judd', 'Greg Kinnear', 'Hugh Jackman']","Jane Goodale has everything going for her. She's a producer on a popular daytime talk show, and is in a hot romance with the show's dashing executive producer Ray. But when the relationship goes terribly awry, Jane begins an extensive study of the male animal, including her womanizing roommate Eddie. Jane puts her studies and romantic misadventure to use as a pseudonymous sex columnist -- and becomes a sensation.",1.0,"Someone like You (2001) | Genres: Comedy, Romance | Director: Tony Goldwyn | Cast: Ashley Judd, Greg Kinnear, Hugh Jackman"
Superman vs. The Elite,103269.0,"['Science Fiction', 'Animation', 'Action']",Michael Chang,"['George Newbern', 'Pauley Perrette', 'Robin Atkin Downes']",The Man of Steel finds himself outshone by a new team of ruthless superheroes who hold his idealism in contempt.,1.0,"Superman vs. The Elite | Genres: Science Fiction, Animation, Action | Director: Michael Chang | Cast: George Newbern, Pauley Perrette, Robin Atkin Downes"
The Machinist (2004),4553.0,"['Thriller', 'Drama']",Brad Anderson,"['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón']","Trevor, an insomniac lathe operator, experiences unusual occurrences at work and home. A strange man follows him everywhere, but no one else seems to notice him.",1.0,"The Machinist (2004) | Genres: Thriller, Drama | Director: Brad Anderson | Cast: Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón"
Passengers (2008),13944.0,"['Drama', 'Mystery', 'Thriller', 'Romance']",Rodrigo García,"['Anne Hathaway', 'Patrick Wilson', 'Andre Braugher']","After a plane crash, a young therapist, Claire, is assigned by her mentor to counsel the flight's five survivors. When they share their recollections of the incident -- which some say include an explosion that the airline claims never happened -- Claire is intrigued by Eric, the most secretive of the passengers.",1.0,"Passengers (2008) | Genres: Drama, Mystery, Thriller, Romance | Director: Rodrigo García | Cast: Anne Hathaway, Patrick Wilson, Andre Braugher"
Born on the Fourth of July (1989),2604.0,"['Drama', 'War']",Oliver Stone,"['Tom Cruise', 'Raymond J. Barry', 'Caroline Kava']","Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",1.0,"Born on the Fourth of July (1989) | Genres: Drama, War | Director: Oliver Stone | Cast: Tom Cruise, Raymond J. Barry, Caroline Kava"
Seems Like Old Times (1980),28124.0,"['Comedy', 'Romance']",Jay Sandrich,"['Goldie Hawn', 'Chevy Chase', 'Charles Grodin']","After being falsely accused of robbing a bank, a writer seeks the help of his lawyer ex-wife to clear his name. However, hilarity ensues when he must hide from her husband, who’s throwing a party for law enforcement officials.",1.0,"Seems Like Old Times (1980) | Genres: Comedy, Romance | Director: Jay Sandrich | Cast: Goldie Hawn, Chevy Chase, Charles Grodin"
American Made (2017),337170.0,"['Action', 'Comedy', 'Crime', 'Drama']",Doug Liman,"['Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright']","The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.",1.0,"American Made (2017) | Genres: Action, Comedy, Crime, Drama | Director: Doug Liman | Cast: Tom Cruise, Domhnall Gleeson, Sarah Wright"
Singin' in the Rain (1952),872.0,"['Comedy', 'Romance']",Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']","In 1927 Hollywood, a silent film star falls for a chorus girl just as he and his paranoid screen partner struggle to make the difficult transition to talking pictures.",1.0,"Singin' in the Rain (1952) | Genres: Comedy, Romance | Director: Stanley Donen | Cast: Gene Kelly, Donald O'Connor, Debbie Reynolds"
Rio 2 (2014),172385.0,"['Animation', 'Adventure', 'Comedy', 'Family']",Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway', 'will.i.am']","It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",1.0,"Rio 2 (2014) | Genres: Animation, Adventure, Comedy, Family | Director: Carlos Saldanha | Cast: Jesse Eisenberg, Anne Hathaway, will.i.am"
The Fugitive (2003),,,,,,,The Fugitive (2003)
Jarhead 3: The Siege,378385.0,"['War', 'Action', 'Drama']",William Kaufman,"['Scott Adkins', 'Sasha Jackson', 'Tom Ainsley']","Corporal Evan Albright joined the elite Marine Corps Security Guards to save the world and see some action-not necessarily in that order. But his first assignment, protecting a U. S. Embassy in a seemingly safe Middle Eastern capitol, relegates his unit to wrangling ""gate groupies"" protesting outside the compound and honing their marksmanship by playing video games. So Albright and his team are caught off guard when well-armed and well-trained militants launch a surprise attack aimed at killing an informant in the embassy. Heavily out-gunned, they will have to muster all the courage and fire power they can as their once routine assignment spirals into all-out war.",1.0,"Jarhead 3: The Siege | Genres: War, Action, Drama | Director: William Kaufman | Cast: Scott Adkins, Sasha Jackson, Tom Ainsley"
Smiley Face (2007),13168.0,['Comedy'],Gregg Araki,"['Anna Faris', 'John Krasinski', 'Adam Brody']","Jane, a struggling but perpetually stoned actress, has a busy day ahead. She has several important tasks on her list, including buying more marijuana. Even though she already has a good start on the day's planned drug use, she eats her roommate's pot-laced cupcakes and embarks on a series of misadventures all over Los Angeles.",1.0,"Smiley Face (2007) | Genres: Comedy | Director: Gregg Araki | Cast: Anna Faris, John Krasinski, Adam Brody"
The Remains of the Day (1993),1245.0,"['Drama', 'Romance']",James Ivory,"['Anthony Hopkins', 'Emma Thompson', 'James Fox']",A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,1.0,"The Remains of the Day (1993) | Genres: Drama, Romance | Director: James Ivory | Cast: Anthony Hopkins, Emma Thompson, James Fox"
Superman (1997),355452.0,"['Comedy', 'Crime', 'Thriller']",Mecartin,"['Jayaram', 'Shobana', 'Jagadish']",Nithya is the deputy commissioner of the city who lives with her uncle since both her parents were killed in an accident. She was put on to investigate a corruption case done by the Home Minister and his friend a businessman called Rajan Phillip. Unknowingly she was helped in the investigation by a criminal nicknamed Superman.,1.0,"Superman (1997) | Genres: Comedy, Crime, Thriller | Director: Mecartin | Cast: Jayaram, Shobana, Jagadish"
Julia and Julia (1987),58084.0,"['Drama', 'Fantasy']",Peter Del Monte,"['Kathleen Turner', 'Gabriel Byrne', 'Sting']","A grieving woman, haunted by the loss of her husband on their wedding day, suddenly finds herself slipping between two realities—one where she remains a widow and another where he is alive with their son. As she struggles to distinguish truth from illusion, she becomes entangled in love, betrayal, and mystery, questioning her sanity while searching for answers in a world that keeps shifting.",0.9,"Julia and Julia (1987) | Genres: Drama, Fantasy | Director: Peter Del Monte | Cast: Kathleen Turner, Gabriel Byrne, Sting"
